34818757,Energy-socio-economic-environmental modelling for the EU energy and post-COVID-19 transitions.
34818757,"Relevant energy questions have arisen because of the COVID-19 pandemic. The pandemic shock leads to emissions' reductions consistent with the rates of decrease required to achieve the Paris Agreement goals. Those unforeseen drastic reductions in emissions are temporary as long as they do not involve structural changes. However, the COVID-19 consequences and the subsequent policy response will affect the economy for decades. Focusing on the EU, this discussion article argues how recovery plans are an opportunity to deepen the way towards a low-carbon economy, improving at the same time employment, health, and equity and the role of modelling tools. Long-term alignment with the low-carbon path and the development of a resilient transition towards renewable sources should guide instruments and policies, conditioning aid to energy-intensive sectors such as transport, tourism, and the automotive industry. However, the potential dangers of short-termism and carbon leakage persist. The current energy-socio-economic-environmental modelling tools are precious to widen the scope and deal with these complex problems. The scientific community has to assess disparate, non-equilibrium, and non-ordinary scenarios, such as sectors and countries lockdowns, drastic changes in consumption patterns, significant investments in renewable energies, and disruptive technologies and incorporate uncertainty analysis. All these instruments will evaluate the cost-effectiveness of decarbonization options and potential consequences on employment, income distribution, and vulnerability."
34818767,Mucormycosis (black fungus) ensuing COVID-19 and comorbidity meets - Magnifying global pandemic grieve and catastrophe begins.
34818767,"Post COVID-19, mucormycosis occurred after the SARS-CoV-2 has rampaged the human population and is a scorching problem among the pandemic globally, particularly among Asian countries. Invasive mucormycosis has been extensively reported from mild to severe COVID-19 survivors. The robust predisposing factor seems to be uncontrolled diabetes mellitus, comorbidity and immunosuppression acquired through steroid therapy. The prime susceptive reason for the increase of mucormycosis cases is elevated iron levels in the serum of the COVID survivors. A panoramic understanding of the infection has been elucidated based on clinical manifestation, genetic and non- genetic mechanisms of steroid drug administration, biochemical pathways and immune modulated receptor associations. This review lime-lights and addresses the ""What"", ""Why"", ""How"" and ""When"" about the COVID-19 associated mucormycosis (CAM) in a comprehensive manner with a pure intention to bring about awareness to the common public as the cases are inevitably and exponentially increasing in India and global countries as well. The article also unearthed the pathogenesis of mucormycosis and its association with the COVID-19 sequela, the plausible routes of entry, diagnosis and counter remedies to keep the infection at bay. Cohorts of case reports were analysed to spotlight the link between the pandemic COVID-19 and the nightmare-mucormycosis."
34818770,Antiviral drug Umifenovir (Arbidol) in municipal wastewater during the COVID-19 pandemic: Estimated levels and transformation.
34818770,"An indole derivative umifenovir (Arbidol) is one of the most widely used antiviral drugs for the prevention and treatment of COVID-19 and some other viral infections. The purpose of the present study was to shed light on the transformation processes of umifenovir in municipal wastewater, including disinfection with active chlorine, as well as to assess the levels of the antiviral drug and its metabolites entering and accumulating in natural reservoirs under conditions of the SARS-CoV-2 pandemic. The combination of high-performance liquid chromatography with electrospray ionization high-resolution mass-spectrometry and inductively coupled plasma mass spectrometry was used for tentative identification and quantification of umifenovir and its transformation products in model reaction mixtures and real samples of wastewater, river water, biological sludge and bottom sediments taken at the wastewater treatment plant in Arkhangelsk, a large cultural and industrial center at the Russian North. Laboratory experiments allowed identifying fifteen bromine-containing transformation products, forming at the initial stages of the chlorination and fourteen classic volatile and semi volatile disinfection by-products with bromoform as the dominant one. Chlorinated derivatives are only the minor disinfection by-products forming by substitution of alkylamine group in the aromatic ring. The schemes of umifenovir transformation in reactions with dissolved oxygen and sodium hypochlorite are proposed. Two established primary transformation products formed by oxidation of the thioether group to sulfoxide and elimination of thiophenol were detected in noticeable concentrations in the wastewater together with their precursor. The level of umifenovir reached 1.3 mg kg-1 in the sludge and municipal wastewater treat contained 1 μg L-1 of that drug, while its removal during biological wastewater treatment was about 40%. Pronounced accumulation of umifenovir and its transformation products in biological sludge and bottom sediments of natural reservoirs may be a source of the future secondary pollution of the environment."
34818780,Minimizing errors in RT-PCR detection and quantification of SARS-CoV-2 RNA for wastewater surveillance.
34818780,"Wastewater surveillance for pathogens using reverse transcription-polymerase chain reaction (RT-PCR) is an effective and resource-efficient tool for gathering community-level public health information, including the incidence of coronavirus disease-19 (COVID-19). Surveillance of Severe Acute Respiratory Syndrome Coronavirus-2 (SARS-CoV-2) in wastewater can potentially provide an early warning signal of COVID-19 infections in a community. The capacity of the world's environmental microbiology and virology laboratories for SARS-CoV-2 RNA characterization in wastewater is increasing rapidly. However, there are no standardized protocols or harmonized quality assurance and quality control (QA/QC) procedures for SARS-CoV-2 wastewater surveillance. This paper is a technical review of factors that can cause false-positive and false-negative errors in the surveillance of SARS-CoV-2 RNA in wastewater, culminating in recommended strategies that can be implemented to identify and mitigate some of these errors. Recommendations include stringent QA/QC measures, representative sampling approaches, effective virus concentration and efficient RNA extraction, PCR inhibition assessment, inclusion of sample processing controls, and considerations for RT-PCR assay selection and data interpretation. Clear data interpretation guidelines (e.g., determination of positive and negative samples) are critical, particularly when the incidence of SARS-CoV-2 in wastewater is low. Corrective and confirmatory actions must be in place for inconclusive results or results diverging from current trends (e.g., initial onset or reemergence of COVID-19 in a community). It is also prudent to perform interlaboratory comparisons to ensure results' reliability and interpretability for prospective and retrospective analyses. The strategies that are recommended in this review aim to improve SARS-CoV-2 characterization and detection for wastewater surveillance applications. A silver lining of the COVID-19 pandemic is that the efficacy of wastewater surveillance continues to be demonstrated during this global crisis. In the future, wastewater should also play an important role in the surveillance of a range of other communicable diseases."
34818797,Spatial and temporal variability and data bias in wastewater surveillance of SARS-CoV-2 in a sewer system.
34818797,"The response to disease outbreaks, such as SARS-CoV-2, can be constrained by a limited ability to measure disease prevalence early at a localized level. Wastewater based epidemiology is a powerful tool identifying disease spread from pooled community sewer networks or at influent to wastewater treatment plants. However, this approach is often not applied at a granular level that permits detection of local hot spots. This study examines the spatial patterns of SARS-CoV-2 in sewage through a spatial sampling strategy across neighborhood-scale sewershed catchments. Sampling was conducted across the Reno-Sparks metropolitan area from November to mid-December of 2020. This research utilized local spatial autocorrelation tests to identify the evolution of statistically significant neighborhood hot spots in sewershed sub-catchments that were identified to lead waves of infection, with adjacent neighborhoods observed to lag with increasing viral RNA concentrations over subsequent dates. The correlations between the sub-catchments over the sampling period were also characterized using principal component analysis. Results identified distinct time series patterns, with sewersheds in the urban center, outlying suburban areas, and outlying urbanized districts generally following unique trends over the sampling period. Several demographic parameters were identified as having important gradients across these areas, namely population density, poverty levels, household income, and age. These results provide a more strategic approach to identify disease outbreaks at the neighborhood level and characterized how sampling site selection could be designed based on the spatial and demographic characteristics of neighborhoods."
34818836,[Analysis on influencing factors of HIV testing services utilization in students with self-assessed high risk of HIV infection based on Andersen's model].
34818836,"Objective: To analyze the influencing factors for HIV testing services utilization in students with self-assessed high risk of HIV infection. Methods: The research framework of the influencing factors for HIV testing services utilization in students was developed based on Andersen's health services utilization behavioral model and related literature. A cross-sectional survey was performed in students with self-assessed high risk of HIV infection by an online HIV infection risk assessment tool from March to April 2019. Multiple logistic regressions were applied with hierarchical model. Results: A total of 526 students were included in the study (age: 19.30±1.19 years old), in whom 96.2% agreed that HIV testing should be received after high-risk behavior. 56.7% (298/526) had sexual behavior and the HIV testing rate was 11.0% (58/526). The HIV testing rates in students who had and had no sex behavior were 13.42%(40/298) and 7.89% (18/228), respectively. According to the results from multivariate logistic regression analysis, non-heterosexual (compared with heterosexual, OR=7.88, 95%CI: 3.98-15.61) and higher score of AIDS knowledge awareness (compared with lower score, OR=2.05, 95%CI: 1.07-3.93) in propensity factor module, and having risk sexual behavior (compared with having no risk sexual behavior, OR=2.66, 95%CI: 1.41-5.03) and having diagnosis of STD infection in hospital (compared with having no such diagnosis, OR=6.35, 95%CI: 2.21-18.27) in demand factor module, and receiving health education about AIDS prevention in the past year (compared with receiving no such health education, OR=0.29, 95%CI: 0.11-0.76) and receiving health education about AIDS testing service in the past year (compared with receiving no such health education, OR=3.67, 95%CI: 1.71-7.90) in ability factor module were the influencing factors for utilization of HIV testing services. Conclusions: The acceptance of HIV testing in students needs to be improved urgently. Propensity factors, such as their AIDS knowledge awareness and sexual orientation, and demand factors, such as having risk sexual behavior and STD infection, have obvious impacts on the utilization of HIV testing services. However, health education about AIDS prevention and HIV testing service can play a more important role in facilitating the utilization of HIV testing in students. In the future, we should further strengthen the publicity of voluntary HIV counseling and testing service in students with particular attention to girls and those with risk sexual behaviors."
34818922,Recent Advances on Drugs and Vaccines for COVID-19.
34818922,"The current situation of Coronavirus Disease 2019 (COVID-19) worldwide is still very severe. Presently, many breakthroughs have been accomplished in the research and development of drugs for the treatment of COVID-19, especially vaccines; however, some of the so-called COVID-19-specific drugs highlighted in the early stage failed to achieve the expected curative effect. There is no antiviral therapy available, by stimulating protective immunity vaccine is the best choice for the future management of infection. Therefore, we aimed to identify the latest developments in the research and development of these drugs and vaccines and provide a reference for the prevention and treatment of COVID-19."
34818923,Oral booster probiotic bifidobacteria in SARS-COV-2 patients.
34818923,"Oral booster-single strain probiotic bifidobacteria could be a potential strategy for SARS-CoV-2. This study aims to evaluate the role of oral probiotic Bifidobacterium on moderate/severe SARS-CoV-2 inpatients. In this single-center study, we analyzed data of 44 moderate/severe inpatients with diagnosed COVID-19 in Istanbul Maltepe University Medical Faculty Hospital, 2020 from 1 November 2020 to 15 December 2020. Clinical and medication features were compared and analyzed between patients with or without probiotic. In result, 19 of the 44 patients (43.18%) who were administrated with oral booster-single strain probiotic were discharged with the median inpatient day of 7.6 days which were significantly shorter than those of patients without probiotic. There were significant differences in inpatient days, radiological improvement at day 6 and week 3, and reduction in interleukin-6 levels in those receiving oral probiotic therapy. Although the mortality rate was 5% in the probiotic group, it was 25% in the non-probiotic group. Booster-single strain probiotic bifidobacteria could be an effective treatment strategy for moderate/severe SARS-CoV-2 inpatients to reduce the mortality and length of stay in hospital."
34819018,A randomized group antenatal care pilot showed increased partner communication and partner HIV testing during pregnancy in Malawi and Tanzania.
34819019,Investigation of the impact of SARS-CoV infection on the immunologic status and lung function after 15 years.
34819044,Factors associated with using the internet for medical information based on the doctor-patient trust model: a cross-sectional study.
34819070,The impact of COVID-19 on people who inject drugs in New York City: increased risk and decreased access to services.
34819080,"The role of cultural, community and natural assets in addressing societal and structural health inequalities in the UK: future research priorities."
34819081,A systematic review of racial/ethnic and socioeconomic disparities in COVID-19.
34819095,The Ebola crisis and people with disabilities' access to healthcare and government services in Liberia.
34819155,Improving compliance with physical distancing across religious cultures in Israel.
34819161,Impact of the Covid-19 pandemic on primary care utilization: evidence from Sweden using national register data.
34819216,Aeromedical Implications of Long-Term COVID-19 Sequelae.
